Epochs,Validationloss CNN3D (e-3),Validationloss CNN1D3D/proposed method (e-3),Validationloss CNN3D1D (e-3),Improvement CNN1D3D (%),Improvement CNN3D1D (%)
5,0.5542,0.2832,0.2979,-95.69,-86.05
10,0.3604,0.2545,0.2675,-41.63,-34.73
15,0.3311,0.2429,0.2556,-36.31,-29.56
20,0.3196,0.2478,0.2512,-28.99,-27.23
25,0.3109,0.2435,0.2494,-27.68,-24.68
30,0.3043,0.2329,0.2473,-30.65,-23.07
35,0.3012,0.2348,0.2452,-28.28,-22.85
40,0.297,0.2306,0.2439,-28.79,-21.79
45,0.2961,0.2311,0.2438,-28.15,-21.47
50,0.2928,0.2342,0.2431,-25.01,-20.44
